"PG.ProteinAccessions","PG.Genes","Veh.1","Veh.2","Veh.3","Veh.4","Veh.5","Veh.6","Veh.7","Veh.8","GDF15.1","GDF15.2","GDF15.3","GDF15.4","GDF15.5","GDF15.6","GDF15.7","CR.1","CR.2","CR.3","CR.4","CR.5","CR.6","CR.7","CR.8","CR.9","CR.10","CR.11","CR.12","CR.13","CR.14","CR.15","CR.16","Protein"
"Q91V64","Isoc1",,,,,2523.003662,2745.35083,4564.540039,3193.084961,,,,,,,,,,,,5361.575195,,,,,,,,,,,,"ISOC1"
"Q91VB8","Hba-a2",39335976,31234596,29331298,23789106,27730298,29754158,53020252,9607004,67824000,88215672,17820828,23084950,44108996,46916064,21408766,47199252,26220974,30152390,43233252,15864187,41794488,52993432,45493324,25581174,76273440,28915010,69710408,53719520,15930350,63239716,17347670,"HBA-A2"
"Q91WG0","Ces2c",11528.1084,17344.43945,,15735.3584,6982.708984,9065.831055,10365.88379,10786.50879,17342.02734,13091.99609,14167.16895,13530.17383,13402.89063,14711.32617,5938.557617,5637.69043,,,,35909.78906,4327.092285,,,6835.192383,12983.06152,23545.75,11966.62598,8964.173828,8551.882813,10653.54688,,"CES2C"
"Q91WP0","Masp2",313140.6563,277715.4688,311770.1875,320180.625,311827.2813,320090.8438,298454.625,310172.5,300482.1563,255017.8438,238885.4219,294759.75,291818.625,296661.2188,294009.25,316010.5938,287931.6875,319230.375,338926.9063,157369.7969,360470.4375,333052.4063,332834.125,323600.9375,302740.125,274160.9063,317915.5313,331020.5,335636.1563,312188.6563,305843.6875,"MASP2"
"Q91X70","C6",568544.1875,941478.25,1000028.75,613982.5,1022083.063,720291.9375,692210.5625,922142.4375,621376.5,720252.0625,671316.8125,590389.3125,717459.875,493976.1563,541075.5625,662892.875,678475.75,528213.6875,596728.375,1334818.375,646799.8125,518130.5625,507931.375,891944.75,509894.9375,617276.9375,801406.25,608725.9375,759891.75,844336.75,765766.375,"C6"
"Q91X72","Hpx",55801644,45054616,50344300,61014648,53215032,58708976,57158656,61628384,32478246,50438732,34707132,44745480,30913972,56149316,35384084,48873976,45289064,51156788,48322940,68176072,48637176,58994584,68089688,40267544,49359436,41578668,40983240,48107096,50836260,52290516,46441996,"HPX"
"Q91X79","Cela1",33326.07031,41873.15234,43655.48047,47874.44531,45171.83203,46372.77344,47257.83984,48257.51953,65073.16406,117610.6953,55545.47266,44412.12891,93184.75781,34526.625,41919.09375,73712.35938,32224.04297,46007.49609,52143.43359,33321.57813,53169.18359,40786.07031,30585.81055,70584.03125,34097.63281,48432.71875,39142.61719,40920.94141,36472.08203,52115.52734,30140.41992,"CELA1"
"Q91XL1","Lrg1",755568.0625,708052.6875,875203.5,815772.3125,774033.5,908582.9375,883754.0625,960910.0625,743514.4375,1032640.688,830613.5,899377.9375,726226,1186458.375,654573.5625,934877.9375,705198.8125,774825.4375,708489.25,921155.3125,730505.25,818673.625,1217003.5,799136.0625,620710.8125,590275.125,667908.375,712420,951903.8125,959544.1875,642138.375,"LRG1"
"Q91Y47","F11",,,,18596.11133,21941.94727,24500.59375,20700.25391,24852.55078,17419.32227,13530.64844,,18628.90625,17480.25195,,,21076.97266,,17082.21094,12270.66113,35057.5,20352.04883,19620.4707,23516.58594,26099.76563,30988.67773,19931.05859,31169.51172,23036.70117,20717.98633,20640.05469,18730.5332,"F11"
"Q91Y97","Aldob",861507.9375,156734.2656,319254.8125,964525.25,1223575.75,944067.875,1575122.375,926268.6875,67257.48438,55476.64844,38573.72656,110756.3594,60711.21484,457787.8125,70471.71875,292545.4063,201925.4844,326469.7813,375461.5,589330.8125,578325.375,780780.4375,812504.6875,152038.8125,343221.6563,155747.3438,142555.8438,248417.1094,236331.375,508130.0625,397789.2188,"ALDOB"
